trust,as_of,table,bucket_lo,bucket_hi,share_receivables,share_accounts,score_type,sample_note,prospectus_accession,prospectus_file,bucket_label
bofa,2026-04-01,credit_limit,,5000,0.02330380450329127,0.10481042216242778,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,"Less than or equal to $ 5,000.00"
bofa,2026-04-01,credit_limit,5001,10000,0.07375085946649551,0.14359106803453778,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,"$ 5,000.01 - $ 10,000.00"
bofa,2026-04-01,credit_limit,10001,15000,0.10806063999570535,0.16886392380272527,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,"$ 10,000.01 - $ 15,000.00"
bofa,2026-04-01,credit_limit,15001,20000,0.13806150764441982,0.16905160181930376,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,"$ 15,000.01 - $ 20,000.00"
bofa,2026-04-01,credit_limit,20001,25000,0.17318391603802988,0.14568526983113586,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,"$ 20,000.01 - $ 25,000.00"
bofa,2026-04-01,credit_limit,25001,,0.48363927235205817,0.2679977143498695,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,"$ 25,000.01 or More"
bofa,2026-04-01,account_age,,6,0.0,0.0,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,Not More than 6 Months
bofa,2026-04-01,account_age,7,12,0.0,0.0,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,Over 6 Months to 12 Months
bofa,2026-04-01,account_age,13,24,0.0,0.0,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,Over 12 Months to 24 Months
bofa,2026-04-01,account_age,25,36,0.0,0.0,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,Over 24 Months to 36 Months
bofa,2026-04-01,account_age,37,48,0.0,0.0,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,Over 36 Months to 48 Months
bofa,2026-04-01,account_age,49,60,0.0,0.0,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,Over 48 Months to 60 Months
bofa,2026-04-01,account_age,61,72,0.0,0.0,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,Over 60 Months to 72 Months
bofa,2026-04-01,account_age,73,,1.0,1.0,,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,Over 72 Months
chase,2026-03-31,fico,,,0.0014394729652747315,,FICO,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool; bucket: unscored",0001193125-26-236451,d53666d424b5.htm,No FICO Score
chase,2026-03-31,fico,,599,0.01835929870140623,,FICO,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,Less Than 600
chase,2026-03-31,fico,600,659,0.0359824546359448,,FICO,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,600 to 659
chase,2026-03-31,fico,660,719,0.15235072830223048,,FICO,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,660 to 719
chase,2026-03-31,fico,720,,0.7918680453951438,,FICO,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,720 and Above
chase,2026-03-31,credit_limit,1,5000,0.033265967028785454,0.15169605104624034,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,"$0.01 to $5,000.00"
chase,2026-03-31,credit_limit,5001,10000,0.09226977656061049,0.20322318139495704,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,"$5,000.01 to $10,000.00"
chase,2026-03-31,credit_limit,10001,15000,0.1324907815778343,0.2008486648044777,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,"$10,000.01 to $15,000.00"
chase,2026-03-31,credit_limit,15001,20000,0.13256764837799356,0.14033639737127507,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,"$15,000.01 to $20,000.00"
chase,2026-03-31,credit_limit,20001,25000,0.14421093598076482,0.12197879390922807,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,"$20,000.01 to $25,000.00"
chase,2026-03-31,credit_limit,25001,50000,0.36226352410522483,0.1664476563945434,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,"$25,000.01 to $50,000.00"
chase,2026-03-31,credit_limit,50001,,0.10293136636878655,0.01546925507927841,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,"$50,000.01 or More"
chase,2026-03-31,account_age,,6,0.0,0.0,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,Less than or equal to 6 Months
chase,2026-03-31,account_age,7,12,0.0,0.0,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,Over 6 Months to 12 Months
chase,2026-03-31,account_age,13,24,0.0,0.0,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,Over 12 Months to 24 Months
chase,2026-03-31,account_age,25,36,0.0,0.0,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,Over 24 Months to 36 Months
chase,2026-03-31,account_age,37,48,0.0,0.0,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,Over 36 Months to 48 Months
chase,2026-03-31,account_age,49,60,0.0,0.0,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,Over 48 Months to 60 Months
chase,2026-03-31,account_age,61,120,0.0,0.0,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,Over 60 Months to 120 Months
chase,2026-03-31,account_age,121,,1.0,1.0,,"FICO table is a statistically significant RANDOM SAMPLE of the Trust Portfolio (Experian/FICO Bankcard Score 8, March 2026); sample receivables are about 5% of the pool",0001193125-26-236451,d53666d424b5.htm,Over 120 Months
citi,2025-03-30,fico,,,0.003874673261411855,0.08177891184896922,FICO,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables; bucket: unscored,0001193125-25-144490,d945716d424b2.htm,000
citi,2025-03-30,fico,1,599,0.02124260171270885,0.009976163149995585,FICO,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,001 to 599
citi,2025-03-30,fico,600,639,0.020336074170386,0.010473708238310165,FICO,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,600 to 639
citi,2025-03-30,fico,640,660,0.023908511947379554,0.011023989720439819,FICO,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,640 to 660
citi,2025-03-30,fico,661,679,0.041599806473721364,0.017084247756359423,FICO,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,661 to 679
citi,2025-03-30,fico,680,699,0.07443655054552671,0.02815159851171386,FICO,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,680 to 699
citi,2025-03-30,fico,700,719,0.1042059225883085,0.038460977542629886,FICO,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,700 to 719
citi,2025-03-30,fico,720,739,0.1101051388805198,0.045044953543794515,FICO,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,720 to 739
citi,2025-03-30,fico,740,759,0.11464619311157943,0.05587583691354851,FICO,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,740 to 759
citi,2025-03-30,fico,760,800,0.21094229653200772,0.16734351549395252,FICO,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,760 to 800
citi,2025-03-30,fico,801,,0.27470223077645023,0.5347860972802865,FICO,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,801+
citi,2025-03-26,credit_limit,,500,0.00031620627530222115,0.00922795742441182,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,Less than or equal to $500.00
citi,2025-03-26,credit_limit,501,1000,0.0009296337187385495,0.010896771308693327,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$500.01 to $1,000.00"
citi,2025-03-26,credit_limit,1001,2000,0.00497691334500396,0.028049381057035257,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$1,000.01 to $2,000.00"
citi,2025-03-26,credit_limit,2001,3000,0.007827046405780908,0.02873417289672287,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$2,000.01 to $3,000.00"
citi,2025-03-26,credit_limit,3001,4000,0.00979201410434521,0.029157105753787972,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$3,000.01 to $4,000.00"
citi,2025-03-26,credit_limit,4001,5000,0.014264981867815092,0.03934538639890642,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$4,000.01 to $5,000.00"
citi,2025-03-26,credit_limit,5001,6000,0.014088391173784178,0.03500863184085432,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$5,000.01 to $6,000.00"
citi,2025-03-26,credit_limit,6001,7000,0.018148460573298292,0.037013005445781386,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$6,000.01 to $7,000.00"
citi,2025-03-26,credit_limit,7001,8000,0.017952855350567763,0.038584029128198395,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$7,000.01 to $8,000.00"
citi,2025-03-26,credit_limit,8001,9000,0.02037539945640175,0.03817893549570778,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$8,000.01 to $9,000.00"
citi,2025-03-26,credit_limit,9001,10000,0.02797994669771002,0.04814598371343903,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$9,000.01 to $10,000.00"
citi,2025-03-26,credit_limit,10001,15000,0.12589647374967494,0.18205931320808375,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$10,000.01 to $15,000.00"
citi,2025-03-26,credit_limit,15001,20000,0.15115545897800747,0.18855448372633016,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"$15,000.01 to $20,000.00"
citi,2025-03-26,credit_limit,20001,,0.5862962183035696,0.28704484260204755,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,"Over $20,000.00"
citi,2025-03-26,account_age,,6,0.0,0.0,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,6 months or less
citi,2025-03-26,account_age,7,12,0.0,0.0,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,Over 6 to 12 months
citi,2025-03-26,account_age,13,24,0.0,0.0,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,Over 12 to 24 months
citi,2025-03-26,account_age,25,36,0.0,0.0,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,Over 24 to 36 months
citi,2025-03-26,account_age,37,48,0.0,0.0,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,Over 36 to 48 months
citi,2025-03-26,account_age,49,60,0.0,0.0,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,Over 48 to 60 months
citi,2025-03-26,account_age,61,,1.0,1.0,,FICO refreshed monthly on most accounts; the only trust giving the distribution by accounts as well as by receivables,0001193125-25-144490,d945716d424b2.htm,Over 60 months
comet,2026-06-10,fico,,,0.002161660616949269,,FICO,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%; bucket: unscored",0001193125-26-302059,d155768d424b5.htm,No score
comet,2026-06-10,fico,,600,0.054439691737133616,,FICO,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,Less than or equal to 600
comet,2026-06-10,fico,601,660,0.0764058386648115,,FICO,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,601-660
comet,2026-06-10,fico,661,720,0.2300296018403077,,FICO,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,661-720
comet,2026-06-10,fico,721,,0.6369632071840674,,FICO,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,Greater than 720
comet,2026-06-10,credit_limit,,1500,0.00865674299453462,0.07010972626062016,,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,"Less than or equal to $1,500.00"
comet,2026-06-10,credit_limit,1501,5000,0.10132534680362007,0.2721577557101139,,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,"$1,500.01-$5,000.00"
comet,2026-06-10,credit_limit,5001,10000,0.21100469430609145,0.2839312962463475,,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,"$5,000.01-$10,000.00"
comet,2026-06-10,credit_limit,10001,,0.6790132158957538,0.3738012217829184,,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,"Over $10,000.00"
comet,2026-06-10,account_age,,6,0.0,0.0,,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,Not More than 6 Months
comet,2026-06-10,account_age,7,12,0.0,0.0,,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,Over 6 Months to 12 Months
comet,2026-06-10,account_age,13,24,0.0,0.0,,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,Over 12 Months to 24 Months
comet,2026-06-10,account_age,25,36,0.0,0.0,,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,Over 24 Months to 36 Months
comet,2026-06-10,account_age,37,48,0.0,0.0,,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,Over 36 Months to 48 Months
comet,2026-06-10,account_age,49,60,0.0,0.0,,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,Over 48 Months to 60 Months
comet,2026-06-10,account_age,61,,1.0,1.0,,"Equifax Enhanced Beacon 5.0 FICO refreshed monthly (April 2026 scores against June 10, 2026 receivables); segments combined by dollar amount: Consumer Segment 92.2%, Small Business Segment 7.8%",0001193125-26-302059,d155768d424b5.htm,Over 60 Months
discover,2023-05-31,fico,,,0.00046888772753177405,,FICO,STALE: last prospectus filed 2023-06-23; DCENT notes defeased 2025-12-18; amounts in $000s; bucket: unscored,0001193125-23-173892,d460049d424b5.htm,No Score
discover,2023-05-31,fico,,599,0.022213111728927534,,FICO,STALE: last prospectus filed 2023-06-23; DCENT notes defeased 2025-12-18; amounts in $000s,0001193125-23-173892,d460049d424b5.htm,Less than 600
discover,2023-05-31,fico,600,659,0.057123977925409665,,FICO,STALE: last prospectus filed 2023-06-23; DCENT notes defeased 2025-12-18; amounts in $000s,0001193125-23-173892,d460049d424b5.htm,600 to 659
discover,2023-05-31,fico,660,719,0.2413601474749563,,FICO,STALE: last prospectus filed 2023-06-23; DCENT notes defeased 2025-12-18; amounts in $000s,0001193125-23-173892,d460049d424b5.htm,660 to 719
discover,2023-05-31,fico,720,,0.6788338751431747,,FICO,STALE: last prospectus filed 2023-06-23; DCENT notes defeased 2025-12-18; amounts in $000s,0001193125-23-173892,d460049d424b5.htm,720 and above
discover,2023-05-31,credit_limit,,5000,0.01660790824547397,0.09294646746057018,,STALE: last prospectus filed 2023-06-23; DCENT notes defeased 2025-12-18; amounts in $000s,0001193125-23-173892,d460049d424b5.htm,"Less than or equal to $5,000.00"
discover,2023-05-31,credit_limit,5001,10000,0.07359544179936574,0.19157493549364543,,STALE: last prospectus filed 2023-06-23; DCENT notes defeased 2025-12-18; amounts in $000s,0001193125-23-173892,d460049d424b5.htm,"$5,000.01 to $10,000.00"
discover,2023-05-31,credit_limit,10001,15000,0.18127892952200853,0.34297539547183514,,STALE: last prospectus filed 2023-06-23; DCENT notes defeased 2025-12-18; amounts in $000s,0001193125-23-173892,d460049d424b5.htm,"$10,000.01 to $15,000.00"
discover,2023-05-31,credit_limit,15001,,0.7285177204331518,0.3725032015739492,,STALE: last prospectus filed 2023-06-23; DCENT notes defeased 2025-12-18; amounts in $000s,0001193125-23-173892,d460049d424b5.htm,"Over $15,000.00"
